number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_eta,params_gamma,params_lambda,params_max_depth,params_min_child_weight,params_n_estimators,params_subsample,state
15,-0.26889002323150635,2026-01-26 01:44:00.748652,2026-01-26 01:44:00.824281,0 days 00:00:00.075629,0.10065752312506282,0.8052449957834974,0.2766256760690864,0.05494594621885618,1.382871352440252,3,10,490,0.6063075616632523,COMPLETE
16,-0.18427503108978271,2026-01-26 01:44:00.824625,2026-01-26 01:44:01.163635,0 days 00:00:00.339010,3.3644397747716672,0.9438599500782207,0.013812942307553016,2.9568249785658196,0.23130529327868202,6,3,55,0.7020228276855585,COMPLETE
17,-0.3279733657836914,2026-01-26 01:44:01.164011,2026-01-26 01:44:01.872319,0 days 00:00:00.708308,6.113086997887546,0.7770792919955272,0.02065595830777551,4.257586930950285,4.246072557261024,4,8,374,0.7665108683474549,COMPLETE
18,-0.3084268569946289,2026-01-26 01:44:01.872684,2026-01-26 01:44:03.201173,0 days 00:00:01.328489,6.738504777656679,0.8005828061689467,0.02071816053191371,2.5566966524893417,4.340239310740142,8,8,372,0.7679717191165087,COMPLETE
19,-0.30898040533065796,2026-01-26 01:44:03.201563,2026-01-26 01:44:04.169464,0 days 00:00:00.967901,9.968423562352369,0.9304850588347879,0.020366285175419194,4.956385980717997,4.657680575538125,4,6,377,0.84869324154157,COMPLETE
20,-0.28702986240386963,2026-01-26 01:44:04.169863,2026-01-26 01:44:05.001978,0 days 00:00:00.832115,5.424932089909999,0.7636004284281295,0.0495784951380439,3.355805598034406,6.449696198955905,6,5,462,0.9901928719436974,COMPLETE
21,-0.3122006058692932,2026-01-26 01:44:05.002380,2026-01-26 01:44:05.285195,0 days 00:00:00.282815,3.816494115978137,0.6717745896840028,0.06460205600476157,4.204871391696174,1.178494067590347,4,9,303,0.7547597085503907,COMPLETE
22,-0.3062540888786316,2026-01-26 01:44:05.285573,2026-01-26 01:44:05.629048,0 days 00:00:00.343475,1.8174667729692864,0.8335516686581557,0.1217184027273494,4.229538462620949,2.6836587497774285,5,9,399,0.690313661759887,COMPLETE
23,-0.31924867630004883,2026-01-26 01:44:05.629432,2026-01-26 01:44:05.756804,0 days 00:00:00.127372,7.474507271049825,0.6974825019132878,0.17985318276685783,4.085748427414642,1.8962841035883549,3,9,350,0.6397670014526669,COMPLETE
24,-0.33019208908081055,2026-01-26 01:44:05.757168,2026-01-26 01:44:05.931793,0 days 00:00:00.174625,5.300127944944165,0.9064713001388572,0.1156227730919774,3.5011914857550708,0.18036739038266353,4,7,287,0.6765695550885938,COMPLETE
25,-0.3111841678619385,2026-01-26 01:44:05.932169,2026-01-26 01:44:06.886011,0 days 00:00:00.953842,5.722789401976987,0.9999085487614112,0.019397747712277744,3.396055777138034,6.189752541499679,4,7,348,0.7419071618060569,COMPLETE
26,-0.28442537784576416,2026-01-26 01:44:06.886386,2026-01-26 01:44:07.282439,0 days 00:00:00.396053,6.615210005261481,0.9052891596427066,0.0680233220074712,2.616264603848467,0.8281611083974103,5,5,447,0.6288950012750371,COMPLETE
27,-0.3094571828842163,2026-01-26 01:44:07.282812,2026-01-26 01:44:07.412185,0 days 00:00:00.129373,4.788183749299115,0.9256089794850508,0.14546451914365363,3.4721479331841674,0.43264757542488386,4,6,256,0.6003333669144371,COMPLETE
28,-0.2883824110031128,2026-01-26 01:44:07.412561,2026-01-26 01:44:07.739196,0 days 00:00:00.326635,7.049211433340474,0.8449548254353758,0.09678168470034854,1.6073221743677701,3.334958678099457,6,7,195,0.8526333921184073,COMPLETE
29,-0.32999086380004883,2026-01-26 01:44:07.739594,2026-01-26 01:44:08.258657,0 days 00:00:00.519063,8.398384561816133,0.9646824598758174,0.03975362434004311,2.910156295331558,0.14573391229836133,5,8,327,0.6761795927070882,COMPLETE
30,-0.3067963719367981,2026-01-26 01:44:08.259083,2026-01-26 01:44:08.994391,0 days 00:00:00.735308,8.396750910152203,0.9539279098284592,0.026079737647024565,3.034122764514644,0.17628634906197707,7,8,303,0.662369348275974,COMPLETE
31,-0.3387031555175781,2026-01-26 01:44:08.994772,2026-01-26 01:44:09.726018,0 days 00:00:00.731246,8.393243669050158,0.9735908306569065,0.037842548839087824,2.7451027717530794,0.13857222898151725,5,8,319,0.6859239544509024,COMPLETE
32,-0.32910358905792236,2026-01-26 01:44:09.726403,2026-01-26 01:44:10.164471,0 days 00:00:00.438068,8.275217301738905,0.9062935517219968,0.04001519055742744,2.2478232256782276,0.16197759636381337,4,9,321,0.7080448364710688,COMPLETE
33,-0.3475170135498047,2026-01-26 01:44:10.164880,2026-01-26 01:44:10.777244,0 days 00:00:00.612364,8.512102426263208,0.9043567543399719,0.03914217353531955,2.1078641204598547,0.10176266555589407,5,9,333,0.6951048905425415,COMPLETE
34,-0.32625579833984375,2026-01-26 01:44:10.777708,2026-01-26 01:44:11.277669,0 days 00:00:00.499961,8.323460722650038,0.9687662700513904,0.04863317832862613,1.9241072588908812,0.11021426972732525,6,8,279,0.6865332518078376,COMPLETE
35,-0.32296818494796753,2026-01-26 01:44:11.278038,2026-01-26 01:44:11.869282,0 days 00:00:00.591244,7.164965960791452,0.9266846474991512,0.03235449928589106,1.8109982274577834,0.15583170497600318,5,7,236,0.6503075489903642,COMPLETE
36,-0.31250059604644775,2026-01-26 01:44:11.869664,2026-01-26 01:44:12.164666,0 days 00:00:00.295002,9.067502953534548,0.889982141323034,0.04371475094818406,2.804717062906464,0.10198548915816869,5,9,332,0.6647780309080833,COMPLETE
37,-0.31775254011154175,2026-01-26 01:44:12.165059,2026-01-26 01:44:13.175167,0 days 00:00:01.010108,7.904625974437379,0.9740766642906957,0.027486522772793592,2.4401129479781236,0.20234234033668227,8,8,290,0.7145300983077659,COMPLETE
38,-0.34438633918762207,2026-01-26 01:44:13.175552,2026-01-26 01:44:13.654564,0 days 00:00:00.479012,9.793601840251394,0.9438700864588262,0.059817570424145705,3.1981017209884355,0.32854517147938456,5,7,403,0.6835684569462417,COMPLETE
39,-0.32733404636383057,2026-01-26 01:44:13.654952,2026-01-26 01:44:14.027674,0 days 00:00:00.372722,9.501457378222266,0.9414018562922651,0.06072596198296469,3.2290944953603615,0.3257704974086212,6,7,407,0.6376673115063431,COMPLETE
40,-0.34158289432525635,2026-01-26 01:44:14.028083,2026-01-26 01:44:14.379318,0 days 00:00:00.351235,9.909884033742248,0.8250197672869928,0.05197496141773904,2.3467468939913383,0.13374434947216673,3,6,397,0.7029023689531528,COMPLETE
